,Date,Time,State,Group,Unit,Sales
152,2020-10-02, Evening, NSW, Kids,20,50000
153,2020-10-02, Evening, NSW, Men,39,97500
154,2020-10-02, Evening, NSW, Women,25,62500
155,2020-10-02, Evening, NSW, Seniors,29,72500
156,2020-10-02, Morning, TAS, Kids,4,10000
157,2020-10-02, Morning, TAS, Men,11,27500
158,2020-10-02, Morning, TAS, Women,3,7500
159,2020-10-02, Morning, TAS, Seniors,10,25000
160,2020-10-02, Afternoon, TAS, Kids,11,27500
161,2020-10-02, Afternoon, TAS, Men,5,12500
162,2020-10-02, Afternoon, TAS, Women,4,10000
163,2020-10-02, Afternoon, TAS, Seniors,15,37500
164,2020-10-02, Evening, TAS, Kids,11,27500
165,2020-10-02, Evening, TAS, Men,6,15000
166,2020-10-02, Evening, TAS, Women,14,35000
167,2020-10-02, Evening, TAS, Seniors,6,15000
168,2020-10-03, Morning, WA, Kids,15,37500
169,2020-10-03, Morning, WA, Men,13,32500
170,2020-10-03, Morning, WA, Women,6,15000
171,2020-10-03, Morning, WA, Seniors,3,7500
172,2020-10-03, Afternoon, WA, Kids,9,22500
173,2020-10-03, Afternoon, WA, Men,10,25000
174,2020-10-03, Afternoon, WA, Women,7,17500
175,2020-10-03, Afternoon, WA, Seniors,6,15000
176,2020-10-03, Evening, WA, Kids,3,7500
177,2020-10-03, Evening, WA, Men,4,10000
178,2020-10-03, Evening, WA, Women,13,32500
179,2020-10-03, Evening, WA, Seniors,7,17500
180,2020-10-03, Morning, NT, Kids,8,20000
181,2020-10-03, Morning, NT, Men,12,30000
182,2020-10-03, Morning, NT, Women,11,27500
183,2020-10-03, Morning, NT, Seniors,3,7500
184,2020-10-03, Afternoon, NT, Kids,7,17500
185,2020-10-03, Afternoon, NT, Men,11,27500
186,2020-10-03, Afternoon, NT, Women,9,22500
187,2020-10-03, Afternoon, NT, Seniors,3,7500
188,2020-10-03, Evening, NT, Kids,11,27500
189,2020-10-03, Evening, NT, Men,7,17500
190,2020-10-03, Evening, NT, Women,9,22500
191,2020-10-03, Evening, NT, Seniors,12,30000
192,2020-10-03, Morning, SA, Kids,19,47500
193,2020-10-03, Morning, SA, Men,22,55000
194,2020-10-03, Morning, SA, Women,25,62500
195,2020-10-03, Morning, SA, Seniors,34,85000
196,2020-10-03, Afternoon, SA, Kids,10,25000
197,2020-10-03, Afternoon, SA, Men,21,52500
198,2020-10-03, Afternoon, SA, Women,11,27500
199,2020-10-03, Afternoon, SA, Seniors,10,25000
200,2020-10-03, Evening, SA, Kids,31,77500
201,2020-10-03, Evening, SA, Men,30,75000
202,2020-10-03, Evening, SA, Women,33,82500
203,2020-10-03, Evening, SA, Seniors,32,80000
204,2020-10-03, Morning, VIC, Kids,50,125000
205,2020-10-03, Morning, VIC, Men,35,87500
206,2020-10-03, Morning, VIC, Women,49,122500
207,2020-10-03, Morning, VIC, Seniors,45,112500
208,2020-10-03, Afternoon, VIC, Kids,42,105000
209,2020-10-03, Afternoon, VIC, Men,26,65000
210,2020-10-03, Afternoon, VIC, Women,42,105000
211,2020-10-03, Afternoon, VIC, Seniors,47,117500
212,2020-10-03, Evening, VIC, Kids,34,85000
213,2020-10-03, Evening, VIC, Men,37,92500
214,2020-10-03, Evening, VIC, Women,39,97500
215,2020-10-03, Evening, VIC, Seniors,36,90000
216,2020-10-03, Morning, QLD, Kids,15,37500
217,2020-10-03, Morning, QLD, Men,12,30000
218,2020-10-03, Morning, QLD, Women,20,50000
219,2020-10-03, Morning, QLD, Seniors,17,42500
220,2020-10-03, Afternoon, QLD, Kids,7,17500
221,2020-10-03, Afternoon, QLD, Men,16,40000
222,2020-10-03, Afternoon, QLD, Women,17,42500
223,2020-10-03, Afternoon, QLD, Seniors,9,22500
224,2020-10-03, Evening, QLD, Kids,20,50000
225,2020-10-03, Evening, QLD, Men,19,47500
226,2020-10-03, Evening, QLD, Women,8,20000
227,2020-10-03, Evening, QLD, Seniors,7,17500
228,2020-10-03, Morning, NSW, Kids,32,80000
229,2020-10-03, Morning, NSW, Men,36,90000
230,2020-10-03, Morning, NSW, Women,39,97500
231,2020-10-03, Morning, NSW, Seniors,27,67500
232,2020-10-03, Afternoon, NSW, Kids,18,45000
233,2020-10-03, Afternoon, NSW, Men,22,55000
234,2020-10-03, Afternoon, NSW, Women,33,82500
235,2020-10-03, Afternoon, NSW, Seniors,17,42500
236,2020-10-03, Evening, NSW, Kids,32,80000
237,2020-10-03, Evening, NSW, Men,15,37500
238,2020-10-03, Evening, NSW, Women,36,90000
239,2020-10-03, Evening, NSW, Seniors,17,42500
240,2020-10-03, Morning, TAS, Kids,4,10000
241,2020-10-03, Morning, TAS, Men,12,30000
242,2020-10-03, Morning, TAS, Women,8,20000
243,2020-10-03, Morning, TAS, Seniors,10,25000
244,2020-10-03, Afternoon, TAS, Kids,10,25000
245,2020-10-03, Afternoon, TAS, Men,10,25000
246,2020-10-03, Afternoon, TAS, Women,14,35000
247,2020-10-03, Afternoon, TAS, Seniors,11,27500
248,2020-10-03, Evening, TAS, Kids,3,7500
249,2020-10-03, Evening, TAS, Men,8,20000
250,2020-10-03, Evening, TAS, Women,9,22500
251,2020-10-03, Evening, TAS, Seniors,7,17500
252,2020-10-04, Morning, WA, Kids,7,17500
253,2020-10-04, Morning, WA, Men,15,37500
254,2020-10-04, Morning, WA, Women,15,37500
255,2020-10-04, Morning, WA, Seniors,3,7500
256,2020-10-04, Afternoon, WA, Kids,3,7500
257,2020-10-04, Afternoon, WA, Men,10,25000
258,2020-10-04, Afternoon, WA, Women,6,15000
259,2020-10-04, Afternoon, WA, Seniors,10,25000
260,2020-10-04, Evening, WA, Kids,9,22500
261,2020-10-04, Evening, WA, Men,8,20000
262,2020-10-04, Evening, WA, Women,9,22500
263,2020-10-04, Evening, WA, Seniors,15,37500
264,2020-10-04, Morning, NT, Kids,9,22500
265,2020-10-04, Morning, NT, Men,5,12500
266,2020-10-04, Morning, NT, Women,8,20000
267,2020-10-04, Morning, NT, Seniors,12,30000
268,2020-10-04, Afternoon, NT, Kids,3,7500
269,2020-10-04, Afternoon, NT, Men,6,15000
270,2020-10-04, Afternoon, NT, Women,7,17500
271,2020-10-04, Afternoon, NT, Seniors,13,32500
272,2020-10-04, Evening, NT, Kids,11,27500
273,2020-10-04, Evening, NT, Men,7,17500
274,2020-10-04, Evening, NT, Women,7,17500
275,2020-10-04, Evening, NT, Seniors,9,22500
276,2020-10-04, Morning, SA, Kids,11,27500
277,2020-10-04, Morning, SA, Men,26,65000
278,2020-10-04, Morning, SA, Women,19,47500
279,2020-10-04, Morning, SA, Seniors,29,72500
280,2020-10-04, Afternoon, SA, Kids,15,37500
281,2020-10-04, Afternoon, SA, Men,19,47500
282,2020-10-04, Afternoon, SA, Women,31,77500
283,2020-10-04, Afternoon, SA, Seniors,28,70000
284,2020-10-04, Evening, SA, Kids,22,55000
285,2020-10-04, Evening, SA, Men,11,27500
286,2020-10-04, Evening, SA, Women,11,27500
287,2020-10-04, Evening, SA, Seniors,21,52500
288,2020-10-04, Morning, VIC, Kids,37,92500
289,2020-10-04, Morning, VIC, Men,27,67500
290,2020-10-04, Morning, VIC, Women,33,82500
291,2020-10-04, Morning, VIC, Seniors,25,62500
292,2020-10-04, Afternoon, VIC, Kids,26,65000
293,2020-10-04, Afternoon, VIC, Men,27,67500
294,2020-10-04, Afternoon, VIC, Women,26,65000
295,2020-10-04, Afternoon, VIC, Seniors,36,90000
296,2020-10-04, Evening, VIC, Kids,31,77500
297,2020-10-04, Evening, VIC, Men,40,100000
298,2020-10-04, Evening, VIC, Women,46,115000
299,2020-10-04, Evening, VIC, Seniors,34,85000
300,2020-10-04, Morning, QLD, Kids,19,47500
301,2020-10-04, Morning, QLD, Men,14,35000
302,2020-10-04, Morning, QLD, Women,14,35000
303,2020-10-04, Morning, QLD, Seniors,20,50000
304,2020-10-04, Afternoon, QLD, Kids,16,40000
305,2020-10-04, Afternoon, QLD, Men,18,45000
306,2020-10-04, Afternoon, QLD, Women,8,20000
307,2020-10-04, Afternoon, QLD, Seniors,20,50000
308,2020-10-04, Evening, QLD, Kids,12,30000
309,2020-10-04, Evening, QLD, Men,17,42500
310,2020-10-04, Evening, QLD, Women,16,40000
311,2020-10-04, Evening, QLD, Seniors,16,40000
312,2020-10-04, Morning, NSW, Kids,21,52500
313,2020-10-04, Morning, NSW, Men,39,97500
314,2020-10-04, Morning, NSW, Women,34,85000
315,2020-10-04, Morning, NSW, Seniors,19,47500
316,2020-10-04, Afternoon, NSW, Kids,26,65000
317,2020-10-04, Afternoon, NSW, Men,17,42500
318,2020-10-04, Afternoon, NSW, Women,33,82500
319,2020-10-04, Afternoon, NSW, Seniors,28,70000
320,2020-10-04, Evening, NSW, Kids,32,80000
321,2020-10-04, Evening, NSW, Men,20,50000
322,2020-10-04, Evening, NSW, Women,35,87500
323,2020-10-04, Evening, NSW, Seniors,34,85000
324,2020-10-04, Morning, TAS, Kids,6,15000
325,2020-10-04, Morning, TAS, Men,12,30000
326,2020-10-04, Morning, TAS, Women,7,17500
327,2020-10-04, Morning, TAS, Seniors,4,10000
328,2020-10-04, Afternoon, TAS, Kids,10,25000
329,2020-10-04, Afternoon, TAS, Men,8,20000
330,2020-10-04, Afternoon, TAS, Women,11,27500
331,2020-10-04, Afternoon, TAS, Seniors,15,37500
332,2020-10-04, Evening, TAS, Kids,12,30000
333,2020-10-04, Evening, TAS, Men,15,37500
334,2020-10-04, Evening, TAS, Women,11,27500
335,2020-10-04, Evening, TAS, Seniors,11,27500
336,2020-10-05, Morning, WA, Kids,11,27500
337,2020-10-05, Morning, WA, Men,6,15000
338,2020-10-05, Morning, WA, Women,6,15000
339,2020-10-05, Morning, WA, Seniors,15,37500
340,2020-10-05, Afternoon, WA, Kids,14,35000
341,2020-10-05, Afternoon, WA, Men,12,30000
342,2020-10-05, Afternoon, WA, Women,3,7500
343,2020-10-05, Afternoon, WA, Seniors,5,12500
344,2020-10-05, Evening, WA, Kids,7,17500
345,2020-10-05, Evening, WA, Men,15,37500
346,2020-10-05, Evening, WA, Women,8,20000
347,2020-10-05, Evening, WA, Seniors,10,25000
348,2020-10-05, Morning, NT, Kids,15,37500
349,2020-10-05, Morning, NT, Men,4,10000
350,2020-10-05, Morning, NT, Women,8,20000
351,2020-10-05, Morning, NT, Seniors,13,32500
352,2020-10-05, Afternoon, NT, Kids,9,22500
353,2020-10-05, Afternoon, NT, Men,8,20000
354,2020-10-05, Afternoon, NT, Women,8,20000
355,2020-10-05, Afternoon, NT, Seniors,5,12500
356,2020-10-05, Evening, NT, Kids,9,22500
357,2020-10-05, Evening, NT, Men,9,22500
358,2020-10-05, Evening, NT, Women,3,7500
359,2020-10-05, Evening, NT, Seniors,9,22500
360,2020-10-05, Morning, SA, Kids,25,62500
361,2020-10-05, Morning, SA, Men,32,80000
362,2020-10-05, Morning, SA, Women,17,42500
363,2020-10-05, Morning, SA, Seniors,32,80000
364,2020-10-05, Afternoon, SA, Kids,28,70000
365,2020-10-05, Afternoon, SA, Men,17,42500
366,2020-10-05, Afternoon, SA, Women,22,55000
367,2020-10-05, Afternoon, SA, Seniors,34,85000
368,2020-10-05, Evening, SA, Kids,34,85000
369,2020-10-05, Evening, SA, Men,26,65000
370,2020-10-05, Evening, SA, Women,32,80000
371,2020-10-05, Evening, SA, Seniors,11,27500
372,2020-10-05, Morning, VIC, Kids,38,95000
373,2020-10-05, Morning, VIC, Men,43,107500
374,2020-10-05, Morning, VIC, Women,41,102500
375,2020-10-05, Morning, VIC, Seniors,38,95000
376,2020-10-05, Afternoon, VIC, Kids,34,85000
377,2020-10-05, Afternoon, VIC, Men,33,82500
378,2020-10-05, Afternoon, VIC, Women,31,77500
379,2020-10-05, Afternoon, VIC, Seniors,32,80000
380,2020-10-05, Evening, VIC, Kids,40,100000
381,2020-10-05, Evening, VIC, Men,38,95000
382,2020-10-05, Evening, VIC, Women,30,75000
383,2020-10-05, Evening, VIC, Seniors,44,110000
384,2020-10-05, Morning, QLD, Kids,7,17500
385,2020-10-05, Morning, QLD, Men,11,27500
386,2020-10-05, Morning, QLD, Women,13,32500
387,2020-10-05, Morning, QLD, Seniors,9,22500
388,2020-10-05, Afternoon, QLD, Kids,12,30000
389,2020-10-05, Afternoon, QLD, Men,18,45000
390,2020-10-05, Afternoon, QLD, Women,9,22500
391,2020-10-05, Afternoon, QLD, Seniors,17,42500
392,2020-10-05, Evening, QLD, Kids,13,32500
393,2020-10-05, Evening, QLD, Men,6,15000
394,2020-10-05, Evening, QLD, Women,9,22500
395,2020-10-05, Evening, QLD, Seniors,20,50000
396,2020-10-05, Morning, NSW, Kids,38,95000
397,2020-10-05, Morning, NSW, Men,20,50000
398,2020-10-05, Morning, NSW, Women,15,37500
399,2020-10-05, Morning, NSW, Seniors,22,55000
400,2020-10-05, Afternoon, NSW, Kids,35,87500
401,2020-10-05, Afternoon, NSW, Men,32,80000
402,2020-10-05, Afternoon, NSW, Women,29,72500
403,2020-10-05, Afternoon, NSW, Seniors,20,50000
404,2020-10-05, Evening, NSW, Kids,28,70000
405,2020-10-05, Evening, NSW, Men,30,75000
406,2020-10-05, Evening, NSW, Women,23,57500
407,2020-10-05, Evening, NSW, Seniors,34,85000
408,2020-10-05, Morning, TAS, Kids,9,22500
409,2020-10-05, Morning, TAS, Men,14,35000
410,2020-10-05, Morning, TAS, Women,5,12500
411,2020-10-05, Morning, TAS, Seniors,11,27500
412,2020-10-05, Afternoon, TAS, Kids,7,17500
413,2020-10-05, Afternoon, TAS, Men,8,20000
414,2020-10-05, Afternoon, TAS, Women,3,7500
415,2020-10-05, Afternoon, TAS, Seniors,10,25000
416,2020-10-05, Evening, TAS, Kids,15,37500
417,2020-10-05, Evening, TAS, Men,12,30000
418,2020-10-05, Evening, TAS, Women,13,32500
419,2020-10-05, Evening, TAS, Seniors,4,10000
420,2020-10-06, Morning, WA, Kids,14,35000
421,2020-10-06, Morning, WA, Men,6,15000
422,2020-10-06, Morning, WA, Women,10,25000
423,2020-10-06, Morning, WA, Seniors,13,32500
424,2020-10-06, Afternoon, WA, Kids,5,12500
425,2020-10-06, Afternoon, WA, Men,12,30000
426,2020-10-06, Afternoon, WA, Women,15,37500
427,2020-10-06, Afternoon, WA, Seniors,8,20000
428,2020-10-06, Evening, WA, Kids,8,20000
429,2020-10-06, Evening, WA, Men,14,35000
430,2020-10-06, Evening, WA, Women,4,10000
431,2020-10-06, Evening, WA, Seniors,8,20000
432,2020-10-06, Morning, NT, Kids,9,22500
433,2020-10-06, Morning, NT, Men,11,27500
434,2020-10-06, Morning, NT, Women,3,7500
435,2020-10-06, Morning, NT, Seniors,10,25000
436,2020-10-06, Afternoon, NT, Kids,10,25000
437,2020-10-06, Afternoon, NT, Men,9,22500
438,2020-10-06, Afternoon, NT, Women,6,15000
439,2020-10-06, Afternoon, NT, Seniors,15,37500
440,2020-10-06, Evening, NT, Kids,3,7500
441,2020-10-06, Evening, NT, Men,9,22500
442,2020-10-06, Evening, NT, Women,3,7500
443,2020-10-06, Evening, NT, Seniors,10,25000
444,2020-10-06, Morning, SA, Kids,26,65000
445,2020-10-06, Morning, SA, Men,17,42500
446,2020-10-06, Morning, SA, Women,25,62500
447,2020-10-06, Morning, SA, Seniors,25,62500
448,2020-10-06, Afternoon, SA, Kids,32,80000
449,2020-10-06, Afternoon, SA, Men,17,42500
450,2020-10-06, Afternoon, SA, Women,19,47500
451,2020-10-06, Afternoon, SA, Seniors,26,65000
452,2020-10-06, Evening, SA, Kids,21,52500
453,2020-10-06, Evening, SA, Men,19,47500
454,2020-10-06, Evening, SA, Women,33,82500
455,2020-10-06, Evening, SA, Seniors,22,55000
456,2020-10-06, Morning, VIC, Kids,50,125000
457,2020-10-06, Morning, VIC, Men,28,70000
458,2020-10-06, Morning, VIC, Women,35,87500
459,2020-10-06, Morning, VIC, Seniors,37,92500
460,2020-10-06, Afternoon, VIC, Kids,41,102500
461,2020-10-06, Afternoon, VIC, Men,34,85000
462,2020-10-06, Afternoon, VIC, Women,48,120000
463,2020-10-06, Afternoon, VIC, Seniors,49,122500
464,2020-10-06, Evening, VIC, Kids,49,122500
465,2020-10-06, Evening, VIC, Men,46,115000
466,2020-10-06, Evening, VIC, Women,25,62500
467,2020-10-06, Evening, VIC, Seniors,31,77500
468,2020-10-06, Morning, QLD, Kids,11,27500
469,2020-10-06, Morning, QLD, Men,7,17500
470,2020-10-06, Morning, QLD, Women,9,22500
471,2020-10-06, Morning, QLD, Seniors,15,37500
472,2020-10-06, Afternoon, QLD, Kids,7,17500
473,2020-10-06, Afternoon, QLD, Men,15,37500
474,2020-10-06, Afternoon, QLD, Women,5,12500
475,2020-10-06, Afternoon, QLD, Seniors,7,17500
476,2020-10-06, Evening, QLD, Kids,17,42500
477,2020-10-06, Evening, QLD, Men,14,35000
478,2020-10-06, Evening, QLD, Women,19,47500
479,2020-10-06, Evening, QLD, Seniors,20,50000
480,2020-10-06, Morning, NSW, Kids,37,92500
481,2020-10-06, Morning, NSW, Men,35,87500
482,2020-10-06, Morning, NSW, Women,15,37500
483,2020-10-06, Morning, NSW, Seniors,17,42500
484,2020-10-06, Afternoon, NSW, Kids,39,97500
485,2020-10-06, Afternoon, NSW, Men,26,65000
486,2020-10-06, Afternoon, NSW, Women,33,82500
487,2020-10-06, Afternoon, NSW, Seniors,29,72500
488,2020-10-06, Evening, NSW, Kids,40,100000
489,2020-10-06, Evening, NSW, Men,20,50000
490,2020-10-06, Evening, NSW, Women,28,70000
491,2020-10-06, Evening, NSW, Seniors,34,85000
492,2020-10-06, Morning, TAS, Kids,14,35000
493,2020-10-06, Morning, TAS, Men,5,12500
494,2020-10-06, Morning, TAS, Women,14,35000
495,2020-10-06, Morning, TAS, Seniors,14,35000
496,2020-10-06, Afternoon, TAS, Kids,13,32500
497,2020-10-06, Afternoon, TAS, Men,11,27500
498,2020-10-06, Afternoon, TAS, Women,7,17500
499,2020-10-06, Afternoon, TAS, Seniors,5,12500
500,2020-10-06, Evening, TAS, Kids,4,10000
501,2020-10-06, Evening, TAS, Men,10,25000
502,2020-10-06, Evening, TAS, Women,10,25000
503,2020-10-06, Evening, TAS, Seniors,8,20000
504,2020-10-07, Morning, WA, Kids,12,30000
505,2020-10-07, Morning, WA, Men,15,37500
506,2020-10-07, Morning, WA, Women,9,22500
507,2020-10-07, Morning, WA, Seniors,9,22500
508,2020-10-07, Afternoon, WA, Kids,4,10000
509,2020-10-07, Afternoon, WA, Men,15,37500
510,2020-10-07, Afternoon, WA, Women,5,12500
511,2020-10-07, Afternoon, WA, Seniors,9,22500
512,2020-10-07, Evening, WA, Kids,8,20000
513,2020-10-07, Evening, WA, Men,9,22500
514,2020-10-07, Evening, WA, Women,10,25000
515,2020-10-07, Evening, WA, Seniors,5,12500
516,2020-10-07, Morning, NT, Kids,3,7500
517,2020-10-07, Morning, NT, Men,7,17500
518,2020-10-07, Morning, NT, Women,11,27500
519,2020-10-07, Morning, NT, Seniors,11,27500
520,2020-10-07, Afternoon, NT, Kids,14,35000
521,2020-10-07, Afternoon, NT, Men,6,15000
522,2020-10-07, Afternoon, NT, Women,6,15000
523,2020-10-07, Afternoon, NT, Seniors,13,32500
524,2020-10-07, Evening, NT, Kids,3,7500
525,2020-10-07, Evening, NT, Men,12,30000
526,2020-10-07, Evening, NT, Women,8,20000
527,2020-10-07, Evening, NT, Seniors,14,35000
528,2020-10-07, Morning, SA, Kids,23,57500
529,2020-10-07, Morning, SA, Men,18,45000
530,2020-10-07, Morning, SA, Women,13,32500
531,2020-10-07, Morning, SA, Seniors,23,57500
532,2020-10-07, Afternoon, SA, Kids,18,45000
533,2020-10-07, Afternoon, SA, Men,33,82500
534,2020-10-07, Afternoon, SA, Women,17,42500
535,2020-10-07, Afternoon, SA, Seniors,24,60000
536,2020-10-07, Evening, SA, Kids,18,45000
