,ID,ACTUAL_VALUES,PREDICTED_VALUES
306,617,91.82,91.42384
307,618,111.08,96.76925
308,620,89.44,99.89447
309,622,99.48,100.413284
310,623,94.85,112.4599
311,624,99.82,108.780945
312,626,91.65,105.58699
313,628,89.41,108.04808
314,629,89.17,96.29423
315,630,88.59,105.88173
316,637,107.45,102.92313
317,638,85.76,100.18857
318,643,113.98,93.81143
319,645,87.81,93.713936
320,646,113.36,104.64564
321,648,74.0,96.1454
322,652,92.92,92.793205
323,653,106.06,107.06761
324,654,91.96,104.156204
325,656,102.7,104.156204
326,657,90.27,99.63986
327,659,100.56,101.34668
328,660,89.05,105.69168
329,663,120.18,92.52812
330,664,86.98,113.096054
331,666,110.49,111.69613
332,668,93.08,101.71974
333,669,112.49,102.560715
334,671,94.12,91.42384
335,675,88.69,117.562256
336,677,104.38,99.66048
337,678,115.07,103.61104
338,679,92.03,99.18997
339,682,106.97,94.795425
340,685,116.04,106.10033
341,687,91.63,103.02612
342,688,169.91,93.65441
343,693,103.67,93.6282
344,696,98.52,96.32488
345,698,109.48,92.64835
346,701,96.03,107.47061
347,704,107.16,104.05776
348,705,94.09,114.943665
349,709,87.27,106.533844
350,710,105.35,106.742935
351,711,97.75,115.84246
352,712,104.74,98.200455
353,714,91.62,107.74914
354,715,115.5,95.44143
355,716,102.66,94.15764
356,717,92.48,95.9343
357,720,99.05,114.46897
358,721,102.0,103.58329
359,724,100.32,100.39265
360,725,74.28,96.47293
361,726,112.35,101.32105
362,728,92.58,94.07732
363,731,116.59,95.004654
364,734,100.64,109.74837
365,738,95.38,100.81934
366,745,84.65,101.905014
367,746,112.67,93.55251
368,751,73.34,80.057205
369,754,94.11,95.88328
370,756,95.13,90.55937
371,758,108.43,96.39216
372,759,89.23,104.589745
373,761,112.19,119.63249
374,766,91.02,105.37867
375,767,108.27,102.4995
376,768,87.9,112.4599
377,769,109.16,100.23119
378,770,99.48,103.07821
379,771,110.35,89.3186
380,772,91.53,109.04621
381,773,106.63,106.216415
382,774,88.79,104.156204
383,776,98.24,106.67359
384,777,109.99,102.90828
385,780,107.74,112.32998
386,782,109.73,97.207115
387,787,91.04,98.65282
388,788,95.1,94.3288
389,792,105.21,111.71147
390,793,87.51,105.70204
391,798,99.7,103.14186
392,800,91.44,97.52801
393,806,122.47,94.15764
394,809,97.76,106.4286
395,811,88.07,94.69928
396,812,105.85,99.92587
397,814,117.49,115.59331
398,816,97.69,104.54715
399,817,92.91,104.05476
400,818,77.14,96.96236
401,820,91.21,94.678925
402,823,107.76,96.23195
403,829,93.98,100.2275
404,830,97.36,107.98164
405,831,102.49,98.123886
406,834,112.46,102.74504
407,839,114.61,95.172806
408,841,108.93,97.207115
409,844,88.58,97.207115
410,845,111.92,99.211464
411,848,94.51,96.67463
412,850,100.39,112.13602
413,851,90.87,110.75217
414,852,93.21,102.95671
415,854,116.16,93.90687
416,855,108.08,97.68545
417,856,98.01,105.624954
418,859,90.84,110.76543
419,861,93.67,104.156204
420,864,136.47,106.32987
421,865,77.31,104.156204
422,866,103.46,91.32875
423,867,107.37,95.99422
424,869,88.99,92.837456
425,871,128.05,98.86239
426,872,112.66,94.15764
427,882,90.16,100.80272
428,883,92.2,95.864716
429,885,154.87,108.29025
430,888,94.14,93.98778
431,893,111.7,94.15764
432,901,89.99,103.9427
433,903,98.45,98.12033
434,904,88.72,110.35072
435,905,99.98,110.76543
436,910,103.98,91.77636
437,911,108.19,103.67618
438,914,110.1,110.42784
439,918,93.14,112.244255
440,921,100.21,92.745415
441,928,88.91,105.16898
442,929,85.97,110.60131
443,932,122.45,96.195755
444,933,112.2,102.143425
445,934,106.16,91.77636
446,935,89.66,101.57388
447,937,90.41,79.79702
448,939,101.42,96.50451
449,940,89.52,100.80272
450,941,111.74,102.220276
451,942,91.45,106.98552
452,943,77.69,108.62833
453,944,117.81,109.224625
454,947,87.97,94.15764
455,949,99.17,99.343216
456,951,93.59,104.233116
457,952,104.07,97.548416
458,953,98.57,98.12033
459,954,101.19,85.6931
460,957,108.24,107.79623
461,959,90.06,90.871124
462,960,92.79,107.79623
463,963,100.95,115.59331
464,965,90.76,94.15764
465,967,119.99,105.28825
466,971,78.25,107.50078
467,972,110.63,78.46075
468,973,87.28,91.42384
469,974,89.1,106.67359
470,975,95.6,102.738914
471,978,108.85,100.08262
472,980,88.47,105.112785
473,981,110.33,92.64835
474,984,87.65,109.654945
475,986,89.75,91.77636
476,988,113.87,112.4599
477,989,108.53,104.85085
478,990,96.48,99.89447
479,992,94.88,103.9427
480,996,111.47,107.49411
481,999,116.6,104.22856
482,1000,103.54,107.148964
483,1001,107.86,104.156204
484,1002,118.83,112.4599
485,1003,87.28,106.67359
486,1004,129.0,93.53164
487,1008,92.38,109.71583
488,1009,107.35,93.97797
489,1010,94.65,103.41308
490,1012,118.18,109.11896
491,1013,116.34,89.65607
492,1014,99.94,109.459496
493,1015,101.02,101.17211
494,1016,91.99,115.59331
495,1019,97.47,104.4836
496,1020,112.42,103.671455
497,1021,110.2,91.77636
498,1022,93.41,104.83172
499,1024,113.88,91.77636
500,1025,92.88,86.13353
501,1027,107.68,92.837456
502,1028,88.57,102.5618
503,1029,90.03,95.214386
504,1030,112.59,101.80726
505,1033,101.11,106.67359
506,1036,93.02,96.022675
507,1037,88.06,95.434
508,1038,99.51,95.18073
509,1042,90.77,96.50451
510,1043,89.79,98.09996
511,1044,79.99,105.246994
512,1045,93.4,107.977036
513,1047,113.68,110.39476
514,1050,94.35,99.211464
515,1051,116.87,94.15764
516,1054,112.94,96.23195
517,1056,92.4,92.64835
518,1057,107.12,97.396065
519,1059,100.42,95.391815
520,1062,87.63,104.09652
521,1063,91.02,104.05776
522,1064,87.53,92.64835
523,1066,134.26,102.78447
524,1070,106.59,106.163124
525,1076,121.64,110.34017
526,1077,104.73,101.71974
527,1078,90.46,110.35183
528,1080,88.98,94.15764
529,1082,116.03,108.15717
530,1083,90.34,94.94456
531,1089,101.97,93.94621
532,1091,104.25,94.94456
533,1093,93.74,97.02703
534,1097,94.44,111.9313
535,1099,102.33,99.64283
536,1101,100.07,91.77636
537,1103,101.66,102.738914
538,1104,99.55,103.91459
539,1106,113.4,91.521645
540,1109,97.17,102.81989
541,1110,109.67,96.798065
542,1111,109.16,92.19141
543,1112,106.5,103.23987
544,1114,111.15,99.211464
545,1116,92.83,104.53241
546,1117,97.57,96.95158
547,1120,111.52,94.71765
548,1124,89.6,105.820076
549,1125,105.09,87.88276
550,1126,90.79,103.108505
551,1134,90.54,100.370766
552,1137,95.92,97.782295
553,1138,111.41,110.56934
554,1144,97.3,94.15764
555,1145,106.81,92.95283
556,1146,92.22,106.388016
557,1148,111.04,102.738914
558,1150,96.35,94.71765
559,1152,98.93,97.207115
560,1153,114.94,103.352104
561,1154,89.02,101.04873
562,1155,113.07,96.50451
563,1157,107.61,102.113396
564,1162,104.73,96.50451
565,1165,80.01,107.79623
566,1166,88.6,93.23079
567,1167,88.2,105.577324
568,1168,115.92,91.77636
569,1169,91.2,110.76543
570,1171,109.91,114.972115
571,1172,94.0,91.25674
572,1173,108.23,110.76543
573,1174,75.86,107.38964
574,1176,95.69,91.770584
575,1177,91.16,110.76543
576,1178,95.56,107.50078
577,1182,107.54,107.79623
578,1186,89.6,93.713936
579,1187,101.0,104.98396
580,1188,90.28,112.15927
581,1189,108.32,112.32998
582,1191,92.29,96.95282
583,1192,95.03,96.50451
584,1197,114.39,95.434
585,1198,104.52,93.85465
586,1200,126.68,85.683105
587,1201,94.56,94.80827
588,1203,111.41,105.19742
589,1209,93.81,115.59331
590,1214,107.48,110.68941
591,1218,73.4,101.347046
592,1222,113.93,97.165344
593,1226,111.88,104.05476
594,1228,91.56,106.216415
595,1230,103.75,91.982155
596,1232,90.76,78.87307
597,1233,113.33,103.66543
598,1236,97.9,110.39476
599,1238,108.92,106.107475
600,1241,90.86,94.15764
601,1244,113.75,95.278824
602,1246,105.43,101.00001
603,1247,92.01,107.777725
604,1250,111.21,111.73941
605,1251,93.65,97.332375
606,1254,110.44,102.269135
607,1255,119.71,107.80478
608,1256,104.29,104.649086
609,1257,111.45,110.43415
610,1258,88.3,102.944916
611,1259,108.53,94.15764
612,1260,91.96,104.05476
613,1263,104.67,94.15764
614,1267,109.36,82.21558
615,1268,98.78,97.08825
616,1271,114.85,96.50451
617,1272,113.12,94.15764
618,1274,93.9,99.65813
619,1275,86.56,96.50451
620,1276,90.23,94.15764
621,1277,105.76,92.99048
622,1279,96.6,106.388016
623,1281,128.25,96.149826
624,1282,118.31,112.15927
625,1283,110.11,101.71304
626,1285,123.89,103.61747
627,1286,100.97,97.782295
628,1289,89.44,109.71583
629,1296,109.04,102.542366
630,1299,116.87,94.71765
631,1301,91.82,107.49411
632,1306,102.49,92.51296
633,1307,99.46,107.50078
634,1308,112.71,101.67669
635,1313,111.54,94.15764
636,1314,113.08,95.914185
637,1315,89.97,96.798065
638,1316,101.11,97.44359
639,1317,90.05,93.407394
640,1319,108.41,98.012436
641,1323,87.1,96.02723
642,1324,101.47,113.88477
643,1325,107.51,107.50078
644,1328,97.03,107.83233
645,1329,88.26,108.62833
646,1330,112.61,104.156204
647,1331,124.37,94.48265
648,1332,131.56,106.41684
649,1337,95.49,95.39194
650,1338,95.75,94.90598
651,1339,106.72,96.488884
652,1340,117.85,101.71974
653,1343,113.64,101.31985
654,1347,103.88,114.00987
655,1348,94.29,106.55566
656,1349,107.94,103.10875
657,1352,113.68,96.022675
658,1354,88.78,96.27287
659,1359,129.19,104.14388
660,1360,91.3,92.8765
661,1363,90.52,93.407394
662,1364,93.62,93.98778
663,1365,105.87,98.65282
664,1366,90.95,110.53647
665,1372,112.5,102.53656
666,1375,89.89,101.30946
667,1376,97.33,100.16586
668,1378,130.97,101.05698
669,1379,74.53,111.96668
670,1380,113.62,92.8765
671,1381,94.95,116.833786
672,1384,108.21,112.31098
673,1387,90.39,94.71765
674,1388,118.17,105.77664
675,1392,90.38,99.096756
676,1394,122.4,106.547615
677,1395,89.83,103.59573
678,1396,111.66,93.407394
679,1398,114.28,96.83089
680,1399,93.38,93.407394
681,1400,147.72,93.335556
682,1401,76.81,98.012436
683,1403,115.73,103.55603
684,1404,96.0,104.86236
685,1406,100.49,93.407394
686,1407,93.12,99.211464
687,1408,94.71,93.407394
688,1410,88.38,85.8142
689,1412,74.2,93.407394
690,1413,103.9,99.45505
691,1415,109.53,96.771355
692,1420,101.39,93.407394
693,1422,119.57,102.68675
694,1423,108.47,106.974236
695,1424,107.22,93.407394
696,1425,77.42,93.4961
697,1426,87.07,85.8142
698,1427,132.59,99.10167
699,1429,90.66,94.58075
700,1430,110.71,104.156204
701,1431,91.35,97.12686
702,1432,108.68,112.098625
703,1434,90.73,94.03867
704,1437,105.31,95.85451
705,1438,91.44,99.89447
706,1440,110.54,103.94955
707,1441,79.81,105.591774
708,1442,110.24,106.216415
709,1444,85.82,102.27333
710,1445,124.17,96.771355
711,1446,100.77,97.207115
712,1448,91.61,100.92304
713,1453,114.37,101.6232
714,1454,89.73,93.407394
715,1455,110.49,95.20782
716,1456,97.99,102.60417
717,1458,87.61,93.407394
718,1459,94.6,96.60193
719,1461,111.44,99.83963
720,1465,91.62,94.71765
721,1466,99.22,103.10875
722,1469,87.07,91.87904
723,1472,101.44,101.6232
724,1474,87.71,90.35438
725,1477,111.54,94.97466
726,1479,112.78,95.866264
727,1482,92.59,103.41658
728,1483,87.65,78.87307
729,1487,109.93,92.837456
730,1488,92.65,104.156204
731,1490,89.74,106.43573
732,1492,117.08,110.0837
733,1494,89.56,116.16483
734,1496,78.19,105.3883
735,1497,105.96,105.12849
736,1499,94.36,92.836105
737,1502,108.9,105.60697
738,1507,88.55,82.91353
739,1508,107.75,96.022675
740,1509,88.9,95.69387
741,1511,118.27,95.79716
742,1512,113.15,100.608376
743,1513,82.2,115.11572
744,1514,111.5,99.89447
745,1518,90.46,106.43573
746,1519,108.56,94.726814
747,1522,99.15,110.56934
748,1524,113.35,79.39224
749,1527,110.53,106.216415
750,1529,119.24,95.58875
751,1532,93.26,106.7853
752,1536,115.62,103.47075
753,1537,97.29,115.59331
754,1539,111.48,102.20181
755,1542,110.48,94.26414
756,1543,89.5,100.16586
757,1544,99.52,98.65282
758,1545,91.52,97.207115
759,1550,88.81,99.04153
760,1551,88.93,96.74057
761,1554,97.99,104.09652
762,1556,112.95,97.207115
763,1559,101.06,109.94749
764,1560,98.97,77.68785
765,1562,117.07,98.379845
766,1566,88.03,94.726814
767,1567,107.45,104.14388
768,1569,90.9,110.35183
769,1570,91.39,96.68064
770,1571,88.49,105.77376
771,1574,101.7,96.022675
772,1578,89.91,97.207115
773,1580,121.23,92.51296
774,1583,93.11,95.42026
775,1584,105.35,96.022675
776,1585,101.49,96.06881
777,1586,108.54,95.555084
778,1587,111.48,106.67359
779,1588,109.92,93.06347
780,1590,103.59,110.982185
781,1592,93.43,98.65282
782,1596,116.02,96.986565
783,1598,100.25,106.17757
784,1599,98.04,103.654564
785,1604,93.47,105.79967
786,1606,97.95,104.54715
787,1607,90.65,99.45505
788,1608,107.71,97.89253
789,1609,85.98,116.16619
790,1611,111.02,102.435005
791,1613,87.87,102.598976
792,1616,95.71,94.30792
793,1619,96.51,103.10875
794,1620,91.68,99.52586
795,1621,111.02,104.76832
796,1622,114.26,107.66926
797,1625,113.93,103.3569
798,1627,98.28,116.16619
799,1629,115.42,93.407394
800,1634,95.22,96.159454
801,1636,102.13,103.152
802,1638,111.25,106.90055
803,1639,109.19,106.216415
804,1641,93.72,101.63791
805,1643,107.62,102.642815
806,1644,76.27,107.00541
807,1645,118.9,116.16483
808,1646,90.62,96.95282
809,1647,110.23,104.09652
810,1648,97.02,93.62224
811,1652,90.39,92.51296
812,1653,105.66,109.85783
813,1656,95.71,93.886505
814,1658,93.82,103.654564
815,1659,109.19,100.37828
816,1661,95.0,100.05414
817,1663,100.59,99.45505
818,1664,89.6,96.365616
819,1665,109.64,95.20782
820,1666,110.64,97.207115
821,1667,104.62,101.37906
822,1668,92.53,77.11597
823,1669,121.79,97.89253
824,1670,123.68,102.375984
825,1672,94.11,147.66768
826,1674,110.58,106.8385
827,1677,93.8,104.156204
828,1678,100.83,96.19711
829,1679,121.18,107.23737
830,1680,94.67,105.76375
831,1683,87.47,111.53178
832,1686,105.3,103.68816
833,1687,89.65,102.68675
834,1689,78.4,94.42804
835,1690,105.03,98.012436
836,1691,113.41,115.59331
837,1692,99.51,101.35757
838,1693,122.2,96.022675
839,1695,90.78,103.654564
840,1696,113.02,101.6232
841,1697,94.41,100.37828
842,1700,82.24,97.207115
843,1701,110.64,90.10159
844,1702,97.32,105.820076
845,1703,101.43,96.47993
846,1704,140.49,105.81442
847,1706,89.41,88.00659
848,1707,114.91,110.32684
849,1708,112.54,92.64835
850,1710,76.99,95.951324
851,1711,88.26,110.51953
852,1713,109.58,111.6068
853,1717,104.53,111.68624
854,1719,91.21,97.207115
855,1720,111.1,96.8592
856,1722,88.12,95.85451
857,1725,101.46,99.89447
858,1726,88.88,92.64835
859,1727,101.76,92.61339
860,1729,87.71,103.108505
861,1730,98.13,96.88111
862,1731,98.93,107.50336
863,1733,92.12,97.207115
864,1734,108.15,94.3288
865,1735,104.2,102.68675
866,1738,126.52,102.598976
867,1742,91.11,114.716995
868,1745,95.1,106.8385
869,1747,91.58,90.10159
870,1749,116.02,98.00757
871,1751,97.57,108.62833
872,1752,107.36,90.534744
873,1753,109.77,76.59145
874,1754,114.25,97.83117
875,1755,104.42,98.40272
876,1756,91.16,97.53983
877,1758,119.02,106.3461
878,1759,100.42,95.20782
879,1760,109.39,95.503784
880,1761,91.19,104.98396
881,1762,107.24,93.47969
882,1763,114.32,97.42721
883,1764,265.32,96.409424
884,1766,93.02,98.35787
885,1768,90.22,106.216415
886,1769,105.45,81.732605
887,1771,112.38,105.70204
888,1772,94.87,105.12849
889,1773,158.53,110.89553
890,1774,114.51,106.67776
891,1775,127.91,104.156204
892,1777,99.48,114.307335
893,1779,129.32,95.20782
894,1780,83.42,95.503784
895,1787,118.44,96.47993
896,1788,111.9,96.15757
897,1790,91.37,92.05337
898,1796,86.93,104.14388
899,1801,112.51,98.123886
900,1803,141.31,105.91801
901,1807,102.87,105.820076
902,1809,106.79,92.49566
903,1812,99.18,107.80478
904,1813,92.4,110.42784
905,1814,108.57,113.708176
906,1815,95.64,100.54091
907,1816,89.6,108.93818
908,1818,98.95,98.02377
909,1820,108.65,93.582664
910,1821,110.87,110.39476
911,1822,108.36,97.60994
912,1825,78.5,95.04308
913,1826,101.98,110.51953
914,1828,106.56,92.64835
915,1831,88.38,108.05317
916,1836,89.96,136.93756
917,1837,113.56,105.749115
918,1841,112.09,91.007065
919,1844,92.32,106.69764
920,1848,99.78,97.259056
921,1851,92.38,99.19592
922,1852,104.19,93.42245
923,1853,98.01,96.70538
924,1854,78.47,101.71304
925,1856,91.78,100.4978
926,1859,108.38,92.50221
927,1860,105.4,108.62833
928,1861,99.0,85.683105
929,1863,87.13,102.5618
930,1865,107.48,103.262825
931,1866,100.77,98.476456
932,1867,92.95,95.39194
933,1868,87.21,95.7315
934,1872,100.35,103.262825
935,1879,106.19,105.18875
936,1880,90.04,100.18404
937,1882,123.31,106.55566
938,1885,117.89,112.99208
939,1887,88.64,93.703064
940,1888,110.54,98.81207
941,1890,93.76,92.59478
942,1894,117.3,103.24324
943,1895,101.2,91.93747
944,1896,98.17,95.12491
945,1897,99.91,106.7226
946,1900,94.29,108.781364
947,1901,91.63,111.84615
948,1902,107.59,109.419914
949,1905,90.71,95.30286
950,1906,107.36,107.57233
951,1912,91.21,100.25828
952,1915,90.4,105.33918
953,1916,91.27,103.10875
954,1917,90.32,97.38147
955,1918,108.82,114.950485
956,1920,93.75,86.76171
957,1923,108.49,101.94172
958,1924,88.34,107.34132
959,1925,120.17,93.62224
960,1930,87.21,114.972115
961,1932,93.42,93.407394
962,1933,108.34,93.826515
963,1934,90.35,101.13856
964,1935,88.71,109.264175
965,1940,110.7,85.8142
966,1941,115.73,92.78625
967,1942,88.24,105.70204
968,1943,110.12,113.622025
969,1944,89.97,92.44781
970,1945,100.28,99.89447
971,1948,114.35,115.59331
972,1949,92.55,101.45934
973,1952,115.22,96.36671
974,1954,93.83,97.44359
975,1955,94.39,94.15764
976,1958,96.83,106.36623
977,1959,90.96,93.703064
978,1960,111.89,97.42721
979,1963,113.39,96.55761
980,1965,107.13,90.7939
981,1968,125.03,98.72687
982,1969,90.43,93.98778
983,1971,101.58,95.997925
984,1972,103.57,108.04808
985,1973,107.99,94.726814
986,1975,102.39,92.11837
987,1977,113.74,110.59078
988,1978,106.57,105.54787
989,1979,107.48,100.370766
990,1981,106.52,92.11837
991,1982,100.62,102.52544
992,1987,101.33,104.4835
993,1988,108.68,94.726814
994,1993,90.04,109.09769
995,1997,140.15,94.40561
996,1999,94.64,92.64835
997,2001,114.53,102.598976
998,2002,137.44,110.39476
999,2003,110.24,95.70492
1000,2004,91.49,101.16009
1001,2006,106.0,104.42873
1002,2007,104.97,98.766205
1003,2009,107.13,95.503784
1004,2010,95.62,94.3288
1005,2013,95.04,92.736946
1006,2018,88.96,94.984276
1007,2022,101.66,104.54912
1008,2024,104.37,100.55719
1009,2025,99.72,96.771355
1010,2026,105.43,99.67014
1011,2030,125.06,93.66181
1012,2031,89.43,96.83089
1013,2032,108.37,100.25828
1014,2033,89.0,96.92521
1015,2035,99.06,101.228966
1016,2036,89.29,101.71974
1017,2037,115.13,94.61487
1018,2040,92.73,103.24324
1019,2043,108.88,105.112785
1020,2044,98.56,105.17621
1021,2046,108.64,107.997734
1022,2054,99.51,100.499084
1023,2055,89.83,100.07403
1024,2056,92.63,95.503784
1025,2059,105.53,97.47082
1026,2060,108.99,111.84615
1027,2062,90.1,102.10194
